OID_,ENTITY_ID,CLASS_CODE,SMRS,COUNTY,TOWNLAND,COUNTY_ID,ZONE_ID,ITM_E,ITM_N,LATITUDE,LONGITUDE,MONUMENT_T,FIRST_EDIT,LATEST_EDI,WEBSITE_LI,WEB_NOTES
10,CO07040,FISC,CO048-044----,CORK,TULLIG (Muskerry West By.),5,R110119,530920.000000000000000,587660.000000000000000,52.036618286000000,-9.006868548000000,Stone circle - five-stone, ,'Stone Circle (Site of)' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-044----,"In pasture, at N foot of Musheramore Mountain between the Owenbaun and Mushera Rivers. Monument destroyed shortly before 1933. Earlier records indicate that this was probable five-stone circle; gallán (CO048-041---) and site of possible stone circle (64"
11,CO07055,FISC,CO048-056----,CORK,BALLYVOUSKILL,5,R109959,525381.000000000000000,585021.000000000000000,52.012183309000001,-9.087011348000001,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-056----,"In cut-away bog, on saddle between two hills at NE end of Derrynasaggart Mountains. Probable axial stone and four prostrate slabs survive. Estimated main axis is aligned WNW-ESE. Circle is surrounded by fosse (D c. 0.3m; Wth 2m-2.5m), c. 12m diameter fro"
12,CO07087,FISC,CO048-080002-,CORK,CLOGHBOOLA BEG,5,R109976,530522.000000000000000,585336.000000000000000,52.015681547000000,-9.012196889000000,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-080002-,"On platform, on NW-facing slope of Mushera Mountains at head of Owenbaun River valley. Circle complete; entrance stones parallel, set end-on to circumference. Orthostats are 0.85m to 1.5m L, 0.1m to 0.3m T and, apart from stump of W side stone (H 0.15m),"
13,CO07100,MUSC,CO048-090----,CORK,GLANTANE EAST,5,R109894,528055.000000000000000,583466.000000000000000,51.998560746999999,-9.047738640000000,Stone circle - multiple-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-090----,"In small copse, beside farmstead on east side of Keel River valley. Circle comprises eleven stones, one of which is displaced and lies immediately S of axial stone. Orthostats are 0.55m to 1.3m L, 0.2m to 0.6m T and 0.5m to 0.9m H. Stones decrease in hei"
14,CO07103,MUSC,CO048-093----,CORK,GLANTANE EAST,5,R109908,528252.000000000000000,584128.000000000000000,52.004535941000000,-9.045008790000001,Stone circle - multiple-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-093----,"On tract of partially reclaimed moorland, on E side of Keel River valley. Circle incomplete; may have consisted of eleven or perhaps thirteen stones. Six erect stones survive; five form arc to E. Orthostats are 0.8m to 1.05m L, 0.15m to 0.35m T and 0.5m"
15,CO07106,FISC,CO048-095002-,CORK,KNOCKNAKILLA,5,R109912,529699.000000000000000,584300.000000000000000,52.006266856000003,-9.023972209000000,Stone circle - five-stone, ,'Stone Circle' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-095002-,"On level patch of bogland, on NW slopes of Musherabeg Mountain. Investigated by L.S. Gogan on 8th July, 1931 (Gogan 1931). No finds were recovered. Interior was flagged and great number of quartzite stones were found about entrance. Circle complete; axia"
16,CO07109,FISC,CO048-097001-,CORK,CARRIGANIMMY,5,R109879,529254.000000000000000,582733.000000000000000,51.992126888000001,-9.030129403000000,Stone circle - five-stone, ,'Stone Circle' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-097001-,"On level patch of moorland on W slopes of Musherabeg mountain overlooking Foherish River valley. Circle complete. Orthostats are 0.6m to 1.3m L, 0.3m to 0.4m T and 0.6m to 0.9m H. Internal measurement along main axis, aligned NE-SW, is 2.9m. Standing sto"
17,CO07182,STCI,CO048-167----,CORK,LACKDOTIA,5,R110077,529569.000000000000000,587181.000000000000000,52.032143392999998,-9.026457925000001,Stone circle, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-167----,"According to Broker (1937, 28), 'A couple of feet from it [standing stone 6801], were 6 or 7 smaller stones arranged in circle. Gallán 2 feet outside circle. Smaller stones were removed by James Kelliher in 1915 when ploughing. Smaller stones were like"
18,CO07186,STCI,CO048-171----,CORK,"CURRAGH (Muskerry West By., Drishane Par.)",5, ,0.000000000000000,0.000000000000000,46.488181431999998,-15.817314300000000,Stone circle, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-171----,"According to Broker (1937, 27-8), on Mol. Kennelly's land in Paircin an Ghallain is 'circle of one-eighth acre' surrounded by upright flags (H 3-4ft; Wth 2ft) 2 yards apart, two of which have fallen outwards (L 20 ft; Wth 4 ft; T 2 ft), with stone (Wth 3"
19,CO07206,FISC,CO049-007----,CORK,CARRIGAGULLA,5,R113573,537206.000000000000000,583906.000000000000000,52.003625290000002,-8.914572459000000,Stone circle - five-stone, ,'Stone Circle' (1940), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO049-007----,"In gentle sloping bogland, on W side of Laney River valley. Circle of irregular outline; one entrance stone angled inwards from circumference. Orthostats are 0.5m to 1.2m L, 0.4m to 0.5m T and 0.5m to 1.2m H. Stones decrease in height from entrance to ax"
20,CO07207,MUSC,CO049-008----,CORK,CARRIGAGULLA,5,R113538,537080.000000000000000,583552.000000000000000,52.000429337999996,-8.916342373999999,Stone circle - multiple-stone, ,'Stone Circle' (1946)', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO049-008----,"On level patch in gently sloping pasture, on W side of Laney River basin. Circle incomplete; may have consisted of seventeen stones. Fifteen stones survive, including axial and radially-set entrance stones. Orthostats are 0.6m to 1.7m L, 0.25m to 0.4m T"
21,CO07231,FISC,CO049-029----,CORK,OUGHTIHERY,5,R113363,539024.000000000000000,582173.000000000000000,51.988251832000003,-8.887789262000000,Stone circle - five-stone, ,'Stone Circle' (1940), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO049-029----,"In level boggy ground, at N foot of Carrigagour Hill on S side of Laney River basin. Circle complete; S entrance stone leans markedly to E. Stones are 0.5m to 1.2m L, 0.4m to 0.5m T and 0.5m to 1.2m H. Internal measurement along main axis, aligned ENE-WS"
22,CO07287,MUSC,CO050-008----,CORK,GOWLANE NORTH,5,R113693,548410.000000000000000,585691.000000000000000,52.020823034000003,-8.751675784000000,Stone circle - multiple-stone, ,'Stone Circle' (1939), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO050-008----,"In rough pasture, near headwaters of Rathcoola River. Circle incomplete; probably comprised nine stones. Six erect and two fallen stones remain; these include axial stone and radially-set entrance stones. Two further stones stand beyond entrance and form"
23,CO07355,MUSC,CO050-061001-,CORK,KILMARTIN LOWER,5,R113414,545046.000000000000000,582481.000000000000000,51.991648372000000,-8.800170137000000,Stone circle - multiple-stone, ,'Dolmen' (1939), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO050-061001-,"On level patch of pasture, on E side of Dripsey River valley. Circle incomplete, probably comprised seven stones. Five erect stones and one displaced stone remain; these include axial stone and entrance stones. Orthostats are closely set and measure 1m t"
24,CO07504,FISC,CO051-018----,CORK,KNOCKANTOTA NORTH,5,R113752,555785.000000000000000,587651.000000000000000,52.039076760999997,-8.644481867000000,Stone circle - five-stone, ,'Stone Circle' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO051-018----,"In forest, on NW slope of Rock Hill on E side of Clyda River valley. Possible five-stone circle represented by one erect and three prostrate slabs. Orthostat is 1.15m L, 0.25m T and 1.1m H. Socket visible beside prostrate slab to W indicates diameter of"
25,CO07532,FISC,CO051-043001-,CORK,PLUCKANES NORTH,5,R113639,553505.000000000000000,584632.000000000000000,52.011754607000000,-8.677302856000001,Stone circle - five-stone, ,'Dolmen (Site of)' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO051-043001-,"In level pasture, on W side of Fiddler's Brook. Monument destroyed sometime prior to 1910. Pieces of pottery found in course of destruction. Early accounts record five-stone circle having internal measurement along main axis, apparently aligned N-S, of c"
26,CO07604,FISC,CO051-103----,CORK,GRENAGH SOUTH,5,R113594,556813.000000000000000,584130.000000000000000,52.007509595000002,-8.629054482000001,Stone circle - five-stone, ,'Cromlech' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO051-103----,"Probable five-stone circle. Destroyed between 1933 and 1963. In shallow valley opening E to Martin River basin. Earlier accounts record two entrance stones and axial stone with prostrate slab between them at centre. Orthostats were c. 1.1m to c. 2.2m L,"
27,CO07661,FISC,CO051-153----,CORK,DROMGARRIFF SOUTH,5,R113374,562294.000000000000000,582288.000000000000000,51.991351895000001,-8.549020836000000,Stone circle - five-stone, ,'Standing Stone' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO051-153----,"In pasture, on E side of broad basin of River Martin. Probable five-stone circle; one stone survives (H 1.25m; 0.75m x 0.25m). Nineteenth century sketch and note record three erect and two prostrate stones (diam. c. 3m) and 'An earthen vessel found here"
28,CO08168,FISC,CO058-029----,CORK,GORT NA TIOBRATAN,5,R109535,519309.000000000000000,575941.000000000000000,51.929730855999999,-9.173312350000000,Stone circle - five-stone, ,'Galláin' (1940), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO058-029----,"In boggy ground, near top of hill. Circle incomplete; N entrance stone is missing. Orthostats are 0.7m to 0.8m L, 0.45m to 0.5m T and 0.6m to 0.8m H. Internal measurement along main axis, aligned E-W, is c. 2.3m. Anomalous group of standing stones (CO058"
29,CO08254,FISC,CO059-011----,CORK,CARRIGONIRTANE,5,R109839,528529.000000000000000,580741.000000000000000,51.974130954000003,-9.040269361000000,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO059-011----,"On terrace of E-facing slope of Foherish River valley. Axial stone and radially-set entrance stones survive; W entrance stone broken, stump in situ. Internal measurement along main axis, aligned NNE-SSW, is c. 2.3m. Prostrate slab (2.7m x 0.9m x 0.6m) 4."
30,CO08351,STCI,CO059-087001-,CORK,GORTAVRANNER,5,R109708,530031.000000000000000,578203.000000000000000,51.951511445000001,-9.017894475000000,Stone circle, ,'Stone Circle' (1940), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO059-087001-,"Not shown on 1842 and 1903 OS 6-inch maps. Marked on 1940 OS 6-inch map as circle of 7 stones c. 50m W of anomalous stone pair (6571). Removed; no visible surface trace. According to O Nualláin (1984a, 48, no. 16), recorded in OS Memoranda as '....nine"
31,CO08427,MUSC,CO059-151----,CORK,KILBOULTRAGH,5,R109520,532008.000000000000000,575769.000000000000000,51.929880410000003,-8.988657131000000,Stone circle - multiple-stone, ,'Stone Circle' (1940), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO059-151----,"Monument destroyed between 1963 and 1970. It stood on level patch of arable land. Early accounts indicate circle of nine or perhaps eleven stones, c. 9m diam., with internal block near centre (H 0.6m; 0.6m x 0.6m). Orthostats were 0.6m to 1.5m L, 0.2m to"
32,CO08443,STCI,CO059-163----,CORK,COOLACOOSANE (Muskerry West By.),5, ,0.000000000000000,0.000000000000000,46.488181431999998,-15.817314300000000,Stone circle, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO059-163----,"According to Barber (1972, no. C53) site, now destroyed, said to have been five-stone circle; stones thrown into corner of field. Exact location notknown.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volu"
33,CO08526,MUSC,CO060-042----,CORK,OUGHTIHERY,5,R113122,541502.000000000000000,580176.000000000000000,51.970569159000000,-8.851374503000001,Stone circle - multiple-stone, ,'Stone Circle' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO060-042----,"In flat pasture, near headwaters of Delehinagh River. Circle incomplete; probably consisted of seven stones. Five erect stones remain; these include axial stone and N entrance stone. Orthostats are 0.7m to 1.7m L, 0.3m to 0.35m T and 0.78m to 0.95m H. In"
34,CO08735,FISC,CO061-001----,CORK,RYLANE,5,R113263,543851.000000000000000,581417.000000000000000,51.981965568000000,-8.817394181999999,Stone circle - five-stone, ,'Dolmen' (1937), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO061-001----,"In flat pasture, on SW side of Rylane River. Circle complete; interior filled with field stones. Loose slab lies between axial stone and W sidestone. Orthostats are 1m to 2.1m L, 0.2m to 0.4m T and 0.8m to 1m H. Internal measurement along main axis, alig"
35,CO08856,FISC,CO061-084----,CORK,LECKANEEN,5,R112787,543999.000000000000000,576864.000000000000000,51.941057547000000,-8.814497832000001,Stone circle - five-stone, ,'Stone Circle' (1937), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO061-084----,"Near head of shallow valley opening to SE. This circle was represented by four prostrate slabs and W side stone, indicating diameter of c. 3.5m. Slabs were 1.1m to 1.7m X 0.9m to 1m and 0.2m to 0.3m T; sidestone is 1m L; 0.5m T and 1.2m H. A prostrate sl"
36,CO10066,FISC,CO070-092----,CORK,CARRIGANINE,5,R109342,532498.000000000000000,571962.000000000000000,51.895723490999998,-8.980787497000000,Stone circle - five-stone, ,'Galláin' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO070-092----,"In pasture, on S side of hill overlooking Lee River valley. Probable five-stone circle represented by two orthostats and three apparently displaced stones along fence to S. W stone is 0.8m L, 0.7m T and 1m H; E stone is 1.1m L, 0.4m T and 1.1m H. (O Nual"
37,CO08655,FISC,CO060-137----,CORK,LAHARANKEAL,5,R112827,539445.000000000000000,577266.000000000000000,51.944193912999999,-8.880795407000001,Stone circle - five-stone, ,'Stone Circle' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO060-137----,"On SE-facing slope, near top of hill on W side of Glashagarriff River valley. Circle complete; axial stone is prostrate and E side stone displaced. Orthostats are 1m to 1.2m L, 0.3m to 0.8m T and 0.9m to 1.6m H. Estimated internal measurement along main"
38,CO09883,MUSC,CO069-013----,CORK,GORT AN IMILL,5,R109426,520842.000000000000000,574136.000000000000000,51.913728839999997,-9.150611334000001,Stone circle - multiple-stone, ,'Stone Circle' (1940), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO069-013----,"In shallow depression in boggy mountain land, on S side of Douglas Rivervalley. Circle consists of nine stones, 0.5m to 1.1m L, 0.3m to 0.4m T and 0.4 to 0.9m H. Stones decrease in height from entrance to axial stone. Internal measurement along main axis"
39,CO09885,MUSC,CO069-015----,CORK,GORT AN ACRA,5,R109512,520421.000000000000000,575654.000000000000000,51.927311541000002,-9.157080218000001,Stone circle - multiple-stone, ,'Stone Circle' (1940), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO069-015----,"In moorland, in wide shallow saddle between two hills, 1.5m W of confluence of Douglas and Sullane Rivers. Circle incomplete; may have consisted of thirteen stones. Seven erect stones and five prostrate slabs survive, including axial stone and entrance s"
40,CO09898,FISC,CO069-026----,CORK,RÉ NA NDOIRÍ,5,R109383,520343.000000000000000,573016.000000000000000,51.903591964000000,-9.157604171999999,Stone circle - five-stone, ,'Dolmen' (1940), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO069-026----,"On low platform in rough pasture. Circle complete; orthostats are 0.6m to 1m L, 0.25m to 0.4m T and 0.3m to 0.9m H. Internal measurement along main axis, aligned NE-SW, is 2.4m. Stone row (CO069-027----) stands 120m to SSE. (O Nualláin 1984a, 37, no. 67"
41,CO09951,FISC,CO069-076----,CORK,AN LOMÁNACH MHÓR,5,R109503,514226.000000000000000,575394.000000000000000,51.924055234999997,-9.247068651999999,Stone circle - five-stone, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO069-076----,"In rough pasture, 30m E of Sullane River between ridges of outcropping rock. Circle complete; interior filled with field clearance stones. Entrance stones parallel, set end-on to circumference. Orthostats are 0.9m to 1.1m L, 0.17m to 0.55m T and 0.8m to"
42,CO09953,STCI,CO069-078----,CORK,RAHOONAGH EAST,5, ,0.000000000000000,0.000000000000000,46.488181431999998,-15.817314300000000,Stone circle, ,Not indicated, https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO069-078----,"Murphy (1898, 15) notes 'an interesting stone circle' in 'Rahoona'. Exact location not known. No local knowledge of stone circle in these townlands.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3:"
43,CO09978,FISC,CO070-016----,CORK,LISSACRESIG,5,R109501,526978.000000000000000,575359.000000000000000,51.925558617999997,-9.061697224000000,Stone circle - five-stone, ,'Stone Circle' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO070-016----,"On ridge on S-facing slope overlooking Sullane River valley. Circle complete; partly incorporated in field fence. Orthostats are 1m to 2.6m L, 0.5m to 1m T and 1.1m to 1.65m H. Internal measurement along main axis, aligned E-W, is 3.5m. (O Nualláin 1984"
44,CO10002,MUSC,CO070-035----,CORK,CARRIGAPHOOCA,5,R109410,529476.000000000000000,573550.000000000000000,51.909621860999998,-9.025013810000001,Stone circle - multiple-stone,'Stone Circle','Stone Circle', https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO070-035----,"In flat pasture, c. 300m NW of the confluence of the Foherish and Sullane Rivers. Three stones survive indicating a stone circle of a diameter of at least 5.5m. Orthostats are 1m L, 0.3m to 0.4m T and 0.75m to 2m H. it is not possible to determine the nu"
45,CO10085,MUSC,CO070-108----,CORK,TEERGAY,5,R109249,529106.000000000000000,569469.000000000000000,51.872896134000001,-9.029551971000000,Stone circle - multiple-stone, ,'Stone Circle' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO070-108----,"In low-lying flat arable land, on W side of Lee River. Circle incomplete; may have consisted of nine stones. Seven erect stones and single prostrate stone remain; these include axial stone and entrance stones. Orthostats are 0.8m to 1.1m L, 0.4m to 0.6m"
46,CO10189,FISC,CO071-068----,CORK,KNOCKAVULLIG,5,R112358,542795.000000000000000,570318.000000000000000,51.882098556999999,-8.830920587000000,Stone circle - five-stone, ,'Dolmen' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO071-068----,"On level tract, in rolling pasture on SW side of Kame River valley. Circle complete; W entrance stone and E side stone are prostrate. Orthostats are 1m to 2m L, 0.3m to 0.9m T and 0.8m to 1.1m H. Estimated internal measurement along main axis, aligned NN"
47,CO10231,FISC,CO071-100----,CORK,ROSNASCALP,5,R112394,538091.000000000000000,570850.000000000000000,51.886377932000002,-8.899334344000000,Stone circle - five-stone, ,'Dolmen' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO071-100----,"In rolling pasture, on N side and in bend of River Lee. Circle complete; W entrance stone and E side stone are fallen. Orthostats are 0.9m to 1.6m L, 0.45m to 0.7m T and 0.6m to 0.9m H. Internal measurement along main axis, aligned N-S, is c. 3m. (O Nual"
48,CO10238,FISC,CO071-106----,CORK,KNOCKAVULLIG,5,R112376,542905.000000000000000,570552.000000000000000,51.884213070000001,-8.829361690000001,Stone circle - five-stone, ,'Dolmen' (1938), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO071-106----,"On terrace of N-facing slope on S side of Kame River valley. Circle complete; axial and two side stones prostrate. N entrance stone, leaning markedly to S, is 1.5m L, 0.6m T and 1.1m H. S entrance stone is 1m L, 0.5mT and 0.9m H. Interior of circle dug o"
49,CO11360,MUSC,CO082-066----,CORK,COOLACLEVANE,5,R107592,528676.000000000000000,564022.000000000000000,51.823885089999997,-9.034672255000000,Stone circle - multiple-stone, ,'Stone Circle' (1904), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO082-066----,"On heathy bogland plateau, overlooking Lee River valley to N. Circle incomplete. Early account indicates circle of nine stones with two further stones set beyond entrance to form short passage; these are now missing. Five erect and three prostrate slabs"
50,CO11526,FISC,CO083-085002-,CORK,KNOCKNANEIRK,5,R108823,537020.000000000000000,563263.000000000000000,51.818065588000003,-8.913508490000000,Stone circle - five-stone, ,'Galláin' (1943), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO083-085002-,"On top of hill on N side of Bride River valley. Circle complete; partly incorporated in field fence. Orthostats are 1.1m to 1.7m L, 0.6m to 1.1m T and 0.9m to 1.6m H. Internal measurement along main axis, aligned NNE-SSW, is c. 3.3m. (Ó Nualláin 1984a,"
51,CO11557,MUSC,CO083-109002-,CORK,CURRABEHA (Muskerry West By.),5,R108931,541013.000000000000000,564358.000000000000000,51.828343292000000,-8.855784751000000,Stone circle - multiple-stone, ,'Stone Circle' (1943), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO083-109002-,"On hilltop, in rolling pasture land. Circle incomplete; appears to have consisted of nine or perhaps eleven stones. Five erect stones and number of prostrate slabs survive, including probable entrance stones. Orthostats are 0.8m to 1.2m L, 0.5m to 0.7m T"
52,CO11558,MUSC,CO083-110----,CORK,CURRABEHA (Muskerry West By.),5,R108902,541142.000000000000000,564067.000000000000000,51.825741313000002,-8.853863981000000,Stone circle - multiple-stone, ,'Stone Circle' (1943), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO083-110----,"In rolling pasture land, on SE-facing slope of Bride River valley. Circle incomplete; may have consisted of thirteen stones. Ten erect stones and three prostrate slabs survive, including axial stone and entrance stones. Orthostats are 0.7m to 2m L, 0.4m"
53,CO11567,FISC,CO083-117----,CORK,BELLMOUNT UPPER,5,R108918,542714.000000000000000,564228.000000000000000,51.827351767000003,-8.831087942000000,Stone circle - five-stone, ,'Stone Circle' (1943), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO083-117----,"In flat pasture, on SE side of Bride River valley. Circle partly incorporated in field fence. Circle complete; orthostats are 1.1m to 1.5mL, 0.4m to 0.8m T and 0.7m to 1.2m H. Stones decrease in height from entrance to axial stone. Internal measurement a"
54,CO11568,FISC,CO083-118----,CORK,BELLMOUNT UPPER,5,R108921,542933.000000000000000,564286.000000000000000,51.827895494000003,-8.827920672999999,Stone circle - five-stone, ,'Dolmen' (1943), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO083-118----,"In pasture, near summit of low hill. Site overlooks five-stone circle (CO083-117----) c. 250m to WSW. Two entrance stones and S side stone erect; N sidestone prostrate and axial stone shattered. Orthostats are 0.9m to 1.5m L,0.4m to 0.6m T and 0.8m to 1."
55,CO12442,FISC,CO090-006002-,CORK,CANROOSKA,5,R101125,493512.000000000000000,558282.000000000000000,51.766712769000002,-9.542855595000001,Stone circle - five-stone, ,'Cromlech' (1901), https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO090-006002-,"On bog-covered S-facing slope of S extension of Barrabog mountain. Four stones survive measuring 0.8m to 1.3m L, 0.2m T and 0.45m to 1m H; N entrance stone leans heavily inwards. Internal measurement along main axis, aligned NE-SW, is 2.3m. Part of compl"
